object_id,object_name,object_type,orbit_zone,altitude_km,velocity_kmh,estimated_mass_kg,collision_risk_score,operational_status,fuel_required_kg,observed_at,data_source
HER-19ED9256F5AE,Hermes Debris 018,DEBRIS,MEO,7048.5,23646.81,6218.63,79.65,ACTIVE,117.89,2026-06-08T01:23:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-6D65B79A42A4,Hermes Debris 019,DEBRIS,LEO,1602.54,23141.27,1593.0,87.77,CRITICAL,34.47,2026-06-08T16:11:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-17B88F2F2396,Hermes Debris 020,DEBRIS,GEO,35879.61,11043.75,3535.2,58.59,UNKNOWN,48.1,2026-06-06T10:31:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-65474EB2A08D,Hermes Active Satellite 021,ACTIVE_SATELLITE,MEO,14855.89,11165.19,3447.54,45.8,UNKNOWN,43.49,2026-06-07T14:26:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F88C33B9196C,Hermes Inactive Satellite 022,INACTIVE_SATELLITE,GEO,35771.26,11014.77,3723.57,74.9,ACTIVE,40.99,2026-06-06T15:53:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-8E266901CC8D,Hermes Debris 023,DEBRIS,LEO,1244.56,16493.47,4776.12,91.61,CRITICAL,98.9,2026-06-07T07:31:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-45209DDB6CD5,Hermes Debris 024,DEBRIS,MEO,4273.36,17767.72,3218.5,87.51,CRITICAL,72.78,2026-06-06T18:35:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-E08758C9BEF0,Hermes Rocket Body 025,ROCKET_BODY,GEO,35729.54,10516.35,2367.53,53.85,INACTIVE,40.43,2026-06-06T02:35:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-83E519522172,Hermes Rocket Body 026,ROCKET_BODY,LEO,1394.46,23704.31,2712.38,92.15,CRITICAL,71.13,2026-06-06T18:17:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-4642673C2426,Hermes Active Satellite 027,ACTIVE_SATELLITE,LEO,1919.15,14568.97,7050.36,51.12,UNKNOWN,46.91,2026-06-06T16:43:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-9EA445F02D12,Hermes Debris 028,DEBRIS,LEO,1918.23,24740.7,7101.31,94.27,CRITICAL,126.36,2026-06-08T11:01:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B8D9CFFC94E8,Hermes Service Module 029,SERVICE_MODULE,LEO,1230.14,25371.7,5918.69,78.8,INACTIVE,80.33,2026-06-08T10:27:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-5D28CC0EA594,Hermes Debris 030,DEBRIS,MEO,9005.81,20081.08,2652.36,86.02,CRITICAL,51.06,2026-06-08T06:29:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-59884F03A4AA,Hermes Service Module 031,SERVICE_MODULE,LEO,1960.6,21521.81,7205.18,69.27,INACTIVE,77.12,2026-06-08T20:45:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-2679893B5775,Hermes Debris 032,DEBRIS,MEO,4605.42,10997.32,1009.59,83.37,CRITICAL,25.62,2026-06-08T03:43:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-0ABDA468FA72,Hermes Active Satellite 033,ACTIVE_SATELLITE,LEO,558.77,27738.08,4129.11,48.98,CRITICAL,27.63,2026-06-06T01:55:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-DBCBDF61FBAC,Hermes Debris 034,DEBRIS,LEO,1477.83,18478.84,4983.47,70.92,INACTIVE,70.33,2026-06-06T13:43:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-8653FBB46E05,Hermes Inactive Satellite 035,INACTIVE_SATELLITE,LEO,882.44,26216.93,5591.79,69.77,UNKNOWN,56.39,2026-06-06T20:40:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-72496B4032FE,Hermes Debris 036,DEBRIS,LEO,1576.0,21994.72,1101.91,72.48,UNKNOWN,22.94,2026-06-08T05:11:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-69C4D9705E6F,Hermes Active Satellite 037,ACTIVE_SATELLITE,LEO,792.05,20551.8,5389.47,42.39,CRITICAL,52.57,2026-06-06T02:14:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F7B32EB018ED,Hermes Debris 038,DEBRIS,LEO,1419.57,11550.55,3409.99,73.08,CRITICAL,70.69,2026-06-06T06:50:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B939EE288959,Hermes Debris 039,DEBRIS,LEO,1599.5,21634.73,5622.54,99.5,CRITICAL,113.04,2026-06-07T23:09:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F4190F3883E0,Hermes Inactive Satellite 040,INACTIVE_SATELLITE,LEO,1971.27,13226.97,8265.22,60.63,INACTIVE,60.15,2026-06-07T11:47:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-2F7D14CAD9E3,Hermes Rocket Body 041,ROCKET_BODY,LEO,655.68,23349.39,8402.49,77.41,UNKNOWN,132.75,2026-06-07T04:07:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-649F616940FD,Hermes Rocket Body 042,ROCKET_BODY,LEO,1411.94,12831.6,4096.16,70.1,UNKNOWN,59.8,2026-06-08T17:23:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-33681629439B,Hermes Rocket Body 043,ROCKET_BODY,GEO,35712.91,11005.44,5626.63,53.14,UNKNOWN,69.52,2026-06-07T02:24:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-02A459BFBEC9,Hermes Inactive Satellite 044,INACTIVE_SATELLITE,LEO,1981.61,25611.24,1498.47,89.7,CRITICAL,33.85,2026-06-07T19:27:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-3BBCE308B485,Hermes Debris 045,DEBRIS,LEO,695.96,19390.6,4485.37,85.55,CRITICAL,94.61,2026-06-07T04:18:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-65D4CA17810E,Hermes Inactive Satellite 046,INACTIVE_SATELLITE,MEO,9056.04,21266.64,4591.51,68.71,ACTIVE,59.15,2026-06-08T20:04:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-A4292BF34EF4,Hermes Debris 047,DEBRIS,LEO,1902.6,13632.26,2288.9,83.2,CRITICAL,40.59,2026-06-06T05:55:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-14389610D362,Hermes Rocket Body 048,ROCKET_BODY,LEO,846.07,19505.11,7550.45,65.47,CRITICAL,91.19,2026-06-08T11:51:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-8946BE8CDB6A,Hermes Inactive Satellite 049,INACTIVE_SATELLITE,GEO,35840.93,11069.42,2201.29,52.04,CRITICAL,20.19,2026-06-08T01:28:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-332521445F5B,Hermes Debris 050,DEBRIS,MEO,19422.69,14222.49,1364.19,95.69,CRITICAL,52.61,2026-06-06T12:38:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-C628B83A4B2E,Hermes Rocket Body 051,ROCKET_BODY,MEO,12918.96,12105.86,7626.0,43.47,INACTIVE,64.89,2026-06-07T20:59:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-A9725D98E044,Hermes Active Satellite 052,ACTIVE_SATELLITE,LEO,1834.14,27401.72,3648.57,53.37,CRITICAL,23.69,2026-06-06T01:38:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-23DB02C8A2CB,Hermes Inactive Satellite 053,INACTIVE_SATELLITE,LEO,1736.77,19043.0,1189.79,77.4,UNKNOWN,33.27,2026-06-08T14:01:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-E2E76C7130CA,Hermes Inactive Satellite 054,INACTIVE_SATELLITE,LEO,1251.06,24437.91,6981.79,87.73,CRITICAL,82.04,2026-06-08T09:55:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-33AF10107673,Hermes Inactive Satellite 055,INACTIVE_SATELLITE,MEO,16403.42,27290.03,5221.15,51.58,INACTIVE,46.6,2026-06-07T13:58:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-30DF95D679AE,Hermes Debris 056,DEBRIS,LEO,1585.74,11744.69,5124.6,69.78,UNKNOWN,86.44,2026-06-06T08:47:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B683F3975F5A,Hermes Active Satellite 057,ACTIVE_SATELLITE,LEO,743.41,25570.76,2671.0,28.72,CRITICAL,23.96,2026-06-08T22:33:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-A38A5E210C96,Hermes Inactive Satellite 058,INACTIVE_SATELLITE,LEO,984.79,11095.73,3966.77,64.98,ACTIVE,40.25,2026-06-06T01:47:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-9144216A1BCC,Hermes Debris 059,DEBRIS,MEO,4199.0,16948.52,1858.48,60.89,CRITICAL,33.59,2026-06-08T23:59:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F463EF28D3D9,Hermes Debris 060,DEBRIS,LEO,783.42,24507.02,4469.64,99.5,CRITICAL,104.54,2026-06-08T08:59:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-423CBC5D1364,Hermes Rocket Body 061,ROCKET_BODY,MEO,14006.26,16724.21,7505.1,81.77,CRITICAL,138.55,2026-06-07T22:50:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-7EA037C90043,Hermes Active Satellite 062,ACTIVE_SATELLITE,LEO,427.57,12094.07,5547.84,17.82,INACTIVE,28.2,2026-06-06T02:14:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-C5E8DBA1537A,Hermes Active Satellite 063,ACTIVE_SATELLITE,LEO,1167.19,11431.4,3005.07,16.56,INACTIVE,12.28,2026-06-08T02:18:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-36BD0EE5A8BF,Hermes Inactive Satellite 064,INACTIVE_SATELLITE,MEO,15613.81,17497.03,8360.67,65.13,INACTIVE,84.94,2026-06-06T08:01:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-07A419C57044,Hermes Rocket Body 065,ROCKET_BODY,LEO,1483.07,16141.89,4217.41,63.47,UNKNOWN,64.53,2026-06-07T00:10:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-62DD4C30F1CF,Hermes Debris 066,DEBRIS,MEO,12642.69,21880.01,2038.19,72.34,INACTIVE,37.13,2026-06-08T23:21:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-55FC244172FE,Hermes Service Module 067,SERVICE_MODULE,LEO,1868.4,13571.61,3905.4,79.03,CRITICAL,39.12,2026-06-08T07:25:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-287CCF64104A,Hermes Debris 068,DEBRIS,MEO,7599.52,17634.95,2157.41,74.88,ACTIVE,33.77,2026-06-07T04:26:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-8CA0EE9EA4DF,Hermes Inactive Satellite 069,INACTIVE_SATELLITE,LEO,1745.53,27182.13,3740.84,92.66,CRITICAL,64.21,2026-06-08T01:49:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-337492CCAAB9,Hermes Debris 070,DEBRIS,MEO,2551.44,14233.21,5947.98,85.08,CRITICAL,97.73,2026-06-08T10:55:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-40FDF4DA6889,Hermes Debris 071,DEBRIS,LEO,1342.56,21779.44,3366.26,87.55,CRITICAL,80.87,2026-06-07T15:39:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-300823540D8E,Hermes Debris 072,DEBRIS,LEO,411.79,21370.87,1676.91,71.93,ACTIVE,40.84,2026-06-08T19:50:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-DAEC3D89F314,Hermes Active Satellite 073,ACTIVE_SATELLITE,MEO,8073.92,15714.07,3530.93,53.47,UNKNOWN,45.2,2026-06-06T03:41:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-75977265529B,Hermes Inactive Satellite 074,INACTIVE_SATELLITE,LEO,1589.54,19700.71,134.48,66.85,CRITICAL,12.96,2026-06-08T20:48:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-15A7999DD261,Hermes Debris 075,DEBRIS,LEO,638.45,21311.04,4030.05,92.85,CRITICAL,75.44,2026-06-08T07:58:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-79CEB69CB5D8,Hermes Inactive Satellite 076,INACTIVE_SATELLITE,LEO,1399.27,27887.15,5330.62,64.89,INACTIVE,52.96,2026-06-06T16:16:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-26FF8DB63DD7,Hermes Debris 077,DEBRIS,LEO,1714.11,13836.86,6785.03,97.67,CRITICAL,147.9,2026-06-08T11:11:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-A0042C74281F,Hermes Rocket Body 078,ROCKET_BODY,MEO,16321.91,17912.72,8052.57,58.61,ACTIVE,99.52,2026-06-07T00:47:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-7AB8FA394FF9,Hermes Active Satellite 079,ACTIVE_SATELLITE,LEO,1022.63,17992.62,602.47,40.21,UNKNOWN,11.89,2026-06-06T13:26:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-EF5779566DB4,Hermes Active Satellite 080,ACTIVE_SATELLITE,MEO,6075.75,26821.91,662.86,25.21,UNKNOWN,10.39,2026-06-06T01:16:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-A39087BAE3A7,Hermes Debris 081,DEBRIS,LEO,767.55,20221.57,2154.79,85.44,CRITICAL,51.67,2026-06-08T02:31:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B3B8A9C91376,Hermes Inactive Satellite 082,INACTIVE_SATELLITE,MEO,7561.35,15145.88,955.53,45.08,ACTIVE,25.25,2026-06-06T17:21:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-4DBEA35AA7B9,Hermes Active Satellite 083,ACTIVE_SATELLITE,MEO,10311.82,17085.89,923.16,45.99,CRITICAL,16.7,2026-06-07T00:08:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-FA25B9369D62,Hermes Inactive Satellite 084,INACTIVE_SATELLITE,LEO,1657.37,24190.83,104.97,54.8,ACTIVE,5.89,2026-06-07T03:36:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-6C2658611AB0,Hermes Inactive Satellite 085,INACTIVE_SATELLITE,LEO,845.05,25633.38,6037.78,65.8,CRITICAL,48.59,2026-06-06T02:18:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-589410F5EE4E,Hermes Active Satellite 086,ACTIVE_SATELLITE,LEO,826.99,12391.64,3567.77,60.02,CRITICAL,26.59,2026-06-06T12:35:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-2C4CDC06DFC6,Hermes Service Module 087,SERVICE_MODULE,MEO,15243.66,23737.46,7330.92,27.89,ACTIVE,36.1,2026-06-08T04:21:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-0E3AC025F3A0,Hermes Debris 088,DEBRIS,MEO,4969.8,17450.94,434.03,75.23,ACTIVE,15.93,2026-06-08T11:52:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B3D86E0BE5EE,Hermes Active Satellite 089,ACTIVE_SATELLITE,LEO,666.29,27358.72,3937.73,63.05,INACTIVE,42.37,2026-06-08T14:15:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-5FD8F4D30BBF,Hermes Inactive Satellite 090,INACTIVE_SATELLITE,LEO,1764.81,10675.64,4913.0,76.82,ACTIVE,62.83,2026-06-06T09:26:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F82C5DFF1026,Hermes Inactive Satellite 091,INACTIVE_SATELLITE,GEO,35856.79,10596.38,1289.19,74.37,INACTIVE,17.8,2026-06-08T00:28:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F49C6CF8588A,Hermes Rocket Body 092,ROCKET_BODY,LEO,456.56,21694.98,1167.33,85.75,CRITICAL,26.36,2026-06-07T11:05:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-65EE213DC014,Hermes Inactive Satellite 093,INACTIVE_SATELLITE,LEO,1863.3,13157.35,3872.32,97.51,CRITICAL,66.55,2026-06-08T14:58:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-DEFCFBB2B7E3,Hermes Inactive Satellite 094,INACTIVE_SATELLITE,LEO,842.76,27499.41,5973.52,93.7,CRITICAL,89.81,2026-06-08T23:14:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-80B2CD0D63E4,Hermes Debris 095,DEBRIS,LEO,683.4,21456.77,2719.99,76.15,ACTIVE,49.3,2026-06-06T05:34:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-C036A82DF8F9,Hermes Rocket Body 096,ROCKET_BODY,LEO,1488.44,11590.11,5541.68,91.44,CRITICAL,108.26,2026-06-08T13:44:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-DA29FB198B43,Hermes Active Satellite 097,ACTIVE_SATELLITE,GEO,35857.44,10803.37,7934.8,55.38,ACTIVE,70.32,2026-06-07T00:11:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-1C052F2C7965,Hermes Service Module 098,SERVICE_MODULE,LEO,544.43,17896.78,5492.53,31.73,CRITICAL,31.0,2026-06-06T19:01:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-0C9DD7D02AD7,Hermes Rocket Body 099,ROCKET_BODY,MEO,4380.81,13981.14,5126.24,52.59,INACTIVE,53.03,2026-06-06T21:27:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-92FC928F937C,Hermes Rocket Body 100,ROCKET_BODY,GEO,35743.03,10880.52,5080.65,51.52,UNKNOWN,64.51,2026-06-07T22:13:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-48672F0B9488,Hermes Active Satellite 101,ACTIVE_SATELLITE,LEO,480.71,13576.68,6140.78,59.55,UNKNOWN,61.66,2026-06-08T18:28:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F50BB9E9AA3E,Hermes Debris 102,DEBRIS,GEO,35792.88,10986.76,590.76,72.73,UNKNOWN,13.07,2026-06-08T17:15:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-223D8AF3DB29,Hermes Inactive Satellite 103,INACTIVE_SATELLITE,LEO,757.79,16198.72,4913.99,65.91,UNKNOWN,59.36,2026-06-07T10:46:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-93CABE1CEEC2,Hermes Inactive Satellite 104,INACTIVE_SATELLITE,MEO,15511.3,27905.92,650.63,56.43,ACTIVE,23.35,2026-06-06T17:38:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-73AB7CEA57A1,Hermes Active Satellite 105,ACTIVE_SATELLITE,MEO,2137.08,20284.95,609.46,27.67,ACTIVE,17.56,2026-06-08T22:22:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-E02B0243BCA9,Hermes Active Satellite 106,ACTIVE_SATELLITE,LEO,1082.08,11390.29,6398.11,18.73,UNKNOWN,29.89,2026-06-06T04:01:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-12F979F709E8,Hermes Inactive Satellite 107,INACTIVE_SATELLITE,MEO,11523.22,23955.1,7621.51,62.19,UNKNOWN,56.48,2026-06-09T00:05:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-AA09A5573CAA,Hermes Debris 108,DEBRIS,LEO,1194.32,27082.47,442.17,74.38,CRITICAL,34.92,2026-06-06T13:57:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-C2516D42F110,Hermes Inactive Satellite 109,INACTIVE_SATELLITE,LEO,1848.79,13620.0,5036.58,57.85,INACTIVE,55.78,2026-06-06T11:26:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-34C6971C3660,Hermes Inactive Satellite 110,INACTIVE_SATELLITE,GEO,35767.84,10849.22,6144.64,71.62,INACTIVE,55.91,2026-06-08T16:23:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-617AB51E66C8,Hermes Rocket Body 111,ROCKET_BODY,LEO,1479.05,12263.22,3577.38,54.35,UNKNOWN,64.58,2026-06-08T21:37:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-AECC62BC4286,Hermes Active Satellite 112,ACTIVE_SATELLITE,LEO,1709.16,15995.49,4640.68,30.04,CRITICAL,39.35,2026-06-06T02:01:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-D94E1DF38067,Hermes Debris 113,DEBRIS,GEO,35763.31,10824.69,2180.71,85.54,CRITICAL,63.31,2026-06-08T02:47:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-605BE94DC0AA,Hermes Inactive Satellite 114,INACTIVE_SATELLITE,LEO,1693.7,23613.48,3468.86,75.73,INACTIVE,31.31,2026-06-08T06:28:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-869D2CB91E8E,Hermes Active Satellite 115,ACTIVE_SATELLITE,LEO,604.66,13208.28,6355.13,45.41,UNKNOWN,34.98,2026-06-08T16:33:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-798AC7CBECC8,Hermes Rocket Body 116,ROCKET_BODY,MEO,4161.54,27750.49,5005.86,45.37,ACTIVE,65.85,2026-06-07T16:55:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-768F714197E7,Hermes Debris 117,DEBRIS,MEO,4577.71,25655.07,3277.17,71.85,INACTIVE,70.01,2026-06-06T18:43:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-0B0F8BE9F65E,Hermes Active Satellite 118,ACTIVE_SATELLITE,MEO,11204.46,12171.37,7274.04,38.43,ACTIVE,45.52,2026-06-08T22:04:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-4F8868A15DA4,Hermes Debris 119,DEBRIS,LEO,1247.1,27927.15,5868.48,82.91,CRITICAL,113.97,2026-06-07T05:00:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-D0AF8BED66BA,Hermes Debris 120,DEBRIS,LEO,1783.94,23557.9,1030.64,93.12,CRITICAL,21.26,2026-06-06T07:59:03.615550+00:00,HERMES_MOCK_TELEMETRY
